S. no.,PC #,PC,Administrative District,Organisational District,AC #,AC Name,Catg.,Caste,Population %,Given Count,"Voters 
GE 2024"
6,6,6. Anandpur Sahib,S.A.S. Nagar,"SAS Nagar
  Mohali",52,52. Kharar,SC,Bazigar,1.00,2806,280593
6,6,6. Anandpur Sahib,S.A.S. Nagar,"SAS Nagar
  Mohali",52,52. Kharar,MIN,Muslim,7.00,19641,280593
6,6,6. Anandpur Sahib,S.A.S. Nagar,"SAS Nagar
  Mohali",52,52. Kharar,-,Unknown,4.00,11221,280593
6,6,6. Anandpur Sahib,S.A.S. Nagar,"SAS Nagar
  Mohali",53,53. S.A.S. Nagar,GEN,Brahmin,10.00,23318,233175
6,6,6. Anandpur Sahib,S.A.S. Nagar,"SAS Nagar
  Mohali",53,53. S.A.S. Nagar,GEN,Jatt Sikh,28.00,65289,233175
6,6,6. Anandpur Sahib,S.A.S. Nagar,"SAS Nagar
  Mohali",53,53. S.A.S. Nagar,GEN,Khatri,5.00,11658,233175
6,6,6. Anandpur Sahib,S.A.S. Nagar,"SAS Nagar
  Mohali",53,53. S.A.S. Nagar,GEN,Baniya,2.00,4663,233175
6,6,6. Anandpur Sahib,S.A.S. Nagar,"SAS Nagar
  Mohali",53,53. S.A.S. Nagar,GEN,Bhappe,4.00,9327,233175
6,6,6. Anandpur Sahib,S.A.S. Nagar,"SAS Nagar
  Mohali",53,53. S.A.S. Nagar,GEN,Rajput,0.0,-,233175
6,6,6. Anandpur Sahib,S.A.S. Nagar,"SAS Nagar
  Mohali",53,53. S.A.S. Nagar,OBC,Labana,0.0,-,233175
6,6,6. Anandpur Sahib,S.A.S. Nagar,"SAS Nagar
  Mohali",53,53. S.A.S. Nagar,OBC,Sikh Rajput,0.0,-,233175
6,6,6. Anandpur Sahib,S.A.S. Nagar,"SAS Nagar
  Mohali",53,53. S.A.S. Nagar,OBC,Saini,16.00,37308,233175
