S. no.,PC #,PC,Administrative District,Organisational District,AC #,AC Name,Catg.,Caste,Population %,Given Count,"Voters 
GE 2024"
5,5,5. Hoshiarpur,Hoshiarpur,Hoshiarpur Urban,43,43. Hoshiarpur,OBC,Saini,6.00,11275,187941
5,5,5. Hoshiarpur,Hoshiarpur,Hoshiarpur Urban,43,43. Hoshiarpur,OBC,Ramgarhia,0.0,-,187941
5,5,5. Hoshiarpur,Hoshiarpur,Hoshiarpur Urban,43,43. Hoshiarpur,OBC,Labana,0.0,-,187941
5,5,5. Hoshiarpur,Hoshiarpur,Hoshiarpur Urban,43,43. Hoshiarpur,OBC,Kamboj,4.00,7518,187941
5,5,5. Hoshiarpur,Hoshiarpur,Hoshiarpur Urban,43,43. Hoshiarpur,SC,Ravidassia,20.00,37588,187941
5,5,5. Hoshiarpur,Hoshiarpur,Hoshiarpur Urban,43,43. Hoshiarpur,SC,Balmiki,9.00,16915,187941
5,5,5. Hoshiarpur,Hoshiarpur,Hoshiarpur Urban,43,43. Hoshiarpur,SC,Mazhabi Sikh,4.00,7517,187941
5,5,5. Hoshiarpur,Hoshiarpur,Hoshiarpur Urban,43,43. Hoshiarpur,SC,Bazigar,2.00,3759,187941
5,5,5. Hoshiarpur,Hoshiarpur,Hoshiarpur Urban,43,43. Hoshiarpur,MIN,Muslim,2.00,3759,187941
5,5,5. Hoshiarpur,Hoshiarpur,Hoshiarpur Urban,44,44. Chabbewal (SC),MIN,Christian,2.00,3191,159550
5,5,5. Hoshiarpur,Hoshiarpur,Hoshiarpur Urban,43,43. Hoshiarpur,-,Unknown,2.00,3760,187941
5,5,5. Hoshiarpur,Hoshiarpur,Hoshiarpur Urban,44,44. Chabbewal (SC),GEN,Brahmin,10.00,15955,159550
5,5,5. Hoshiarpur,Hoshiarpur,Hoshiarpur Urban,44,44. Chabbewal (SC),GEN,Jatt Sikh,4.00,6382,159550
5,5,5. Hoshiarpur,Hoshiarpur,Hoshiarpur Urban,44,44. Chabbewal (SC),GEN,Baniya,9.00,14359,159550
5,5,5. Hoshiarpur,Hoshiarpur,Hoshiarpur Urban,44,44. Chabbewal (SC),GEN,Rajput,0.0,-,159550
5,5,5. Hoshiarpur,Hoshiarpur,Hoshiarpur Urban,44,44. Chabbewal (SC),GEN,Khatri,11.00,17550,159550
5,5,5. Hoshiarpur,Hoshiarpur,Hoshiarpur Urban,44,44. Chabbewal (SC),OBC,Saini,6.00,9573,159550
5,5,5. Hoshiarpur,Hoshiarpur,Hoshiarpur Urban,44,44. Chabbewal (SC),OBC,Ramgarhia,0.0,-,159550
5,5,5. Hoshiarpur,Hoshiarpur,Hoshiarpur Urban,44,44. Chabbewal (SC),OBC,Labana,2.00,3191,159550
5,5,5. Hoshiarpur,Hoshiarpur,Hoshiarpur Urban,44,44. Chabbewal (SC),OBC,Kamboj,5.00,7977,159550
5,5,5. Hoshiarpur,Hoshiarpur,Hoshiarpur Urban,44,44. Chabbewal (SC),SC,Ravidassia,28.03,44718,159550
5,5,5. Hoshiarpur,Hoshiarpur,Hoshiarpur Urban,44,44. Chabbewal (SC),SC,Balmiki,11.00,17551,159550
5,5,5. Hoshiarpur,Hoshiarpur,Hoshiarpur Urban,44,44. Chabbewal (SC),SC,Mazhabi Sikh,5.00,7977,159550
5,5,5. Hoshiarpur,Hoshiarpur,Hoshiarpur Urban,44,44. Chabbewal (SC),SC,Bazigar,2.40,3829,159550
5,5,5. Hoshiarpur,Hoshiarpur,Hoshiarpur Urban,44,44. Chabbewal (SC),MIN,Muslim,0.0,-,159550
7,7,7. Ludhiana,Ludhiana,Ludhiana Urban,60,60. Ludhiana East,MIN,Christian,0.95,2198,231133
5,5,5. Hoshiarpur,Hoshiarpur,Hoshiarpur Urban,44,44. Chabbewal (SC),-,Unknown,4.57,7297,159550
6,6,6. Anandpur Sahib,Hoshiarpur,Hoshiarpur Urban,45,45. Garhshankar,GEN,Brahmin,11.00,19197,174522
6,6,6. Anandpur Sahib,Hoshiarpur,Hoshiarpur Urban,45,45. Garhshankar,GEN,Jatt Sikh,16.00,27924,174522
6,6,6. Anandpur Sahib,Hoshiarpur,Hoshiarpur Urban,45,45. Garhshankar,GEN,Khatri,12.00,20942,174522
6,6,6. Anandpur Sahib,Hoshiarpur,Hoshiarpur Urban,45,45. Garhshankar,GEN,Baniya,3.00,5236,174522
6,6,6. Anandpur Sahib,Hoshiarpur,Hoshiarpur Urban,45,45. Garhshankar,GEN,Bhappe,6.00,10471,174522
6,6,6. Anandpur Sahib,Hoshiarpur,Hoshiarpur Urban,45,45. Garhshankar,GEN,Rajput,0.0,-,174522
6,6,6. Anandpur Sahib,Hoshiarpur,Hoshiarpur Urban,45,45. Garhshankar,OBC,Labana,4.00,6981,174522
6,6,6. Anandpur Sahib,Hoshiarpur,Hoshiarpur Urban,45,45. Garhshankar,OBC,Sikh Rajput,3.00,5235,174522
6,6,6. Anandpur Sahib,Hoshiarpur,Hoshiarpur Urban,45,45. Garhshankar,OBC,Saini,8.00,13962,174522
6,6,6. Anandpur Sahib,Hoshiarpur,Hoshiarpur Urban,45,45. Garhshankar,OBC,Gujjar,1.00,1745,174522
6,6,6. Anandpur Sahib,Hoshiarpur,Hoshiarpur Urban,45,45. Garhshankar,OBC,Kamboj,2.60,4538,174522
6,6,6. Anandpur Sahib,Hoshiarpur,Hoshiarpur Urban,45,45. Garhshankar,SC,Ravidassia,17.00,29668,174522
6,6,6. Anandpur Sahib,Hoshiarpur,Hoshiarpur Urban,45,45. Garhshankar,SC,Balmiki,5.00,8726,174522
6,6,6. Anandpur Sahib,Hoshiarpur,Hoshiarpur Urban,45,45. Garhshankar,SC,mazhabi Sikh,2.00,3490,174522
6,6,6. Anandpur Sahib,Hoshiarpur,Hoshiarpur Urban,45,45. Garhshankar,SC,Bazigar,1.00,1745,174522
6,6,6. Anandpur Sahib,Hoshiarpur,Hoshiarpur Urban,45,45. Garhshankar,MIN,Muslim,7.00,12217,174522
6,6,6. Anandpur Sahib,Hoshiarpur,Hoshiarpur Urban,45,45. Garhshankar,-,Unknown,1.40,2445,174522
6,6,6. Anandpur Sahib,Nawanshahr,Nawanshahr,46,46. Banga (SC),GEN,Brahmin,14.01,23257,165976
6,6,6. Anandpur Sahib,Nawanshahr,Nawanshahr,46,46. Banga (SC),GEN,Jatt Sikh,11.00,18257,165976
6,6,6. Anandpur Sahib,Nawanshahr,Nawanshahr,46,46. Banga (SC),GEN,Khatri,12.30,20415,165976
6,6,6. Anandpur Sahib,Nawanshahr,Nawanshahr,46,46. Banga (SC),GEN,Baniya,4.00,6639,165976
6,6,6. Anandpur Sahib,Nawanshahr,Nawanshahr,46,46. Banga (SC),GEN,Bhappe,1.00,1660,165976
6,6,6. Anandpur Sahib,Nawanshahr,Nawanshahr,46,46. Banga (SC),GEN,Rajput,0.0,-,165976
6,6,6. Anandpur Sahib,Nawanshahr,Nawanshahr,46,46. Banga (SC),OBC,Labana,0.0,-,165976
6,6,6. Anandpur Sahib,Nawanshahr,Nawanshahr,46,46. Banga (SC),OBC,Sikh Rajput,0.0,-,165976
6,6,6. Anandpur Sahib,Nawanshahr,Nawanshahr,46,46. Banga (SC),OBC,Saini,11.00,18257,165976
6,6,6. Anandpur Sahib,Nawanshahr,Nawanshahr,46,46. Banga (SC),OBC,Gujjar,2.00,3319,165976
6,6,6. Anandpur Sahib,Nawanshahr,Nawanshahr,46,46. Banga (SC),OBC,Kamboj,4.00,6639,165976
6,6,6. Anandpur Sahib,Nawanshahr,Nawanshahr,46,46. Banga (SC),SC,Ravidassia,9.00,14938,165976
6,6,6. Anandpur Sahib,Nawanshahr,Nawanshahr,46,46. Banga (SC),SC,Balmiki,7.00,11618,165976
6,6,6. Anandpur Sahib,Nawanshahr,Nawanshahr,46,46. Banga (SC),SC,Mazhabi Sikh,14.00,23236,165976
6,6,6. Anandpur Sahib,Nawanshahr,Nawanshahr,46,46. Banga (SC),SC,Bazigar,2.00,3319,165976
6,6,6. Anandpur Sahib,Nawanshahr,Nawanshahr,46,46. Banga (SC),MIN,Muslim,6.01,9979,165976
6,6,6. Anandpur Sahib,Nawanshahr,Nawanshahr,46,46. Banga (SC),-,Unknown,2.68,4443,165976
6,6,6. Anandpur Sahib,Nawanshahr,Nawanshahr,47,47. Nawan Shahr,GEN,Brahmin,14.00,24453,174643
6,6,6. Anandpur Sahib,Nawanshahr,Nawanshahr,47,47. Nawan Shahr,GEN,Jatt Sikh,19.00,33182,174643
6,6,6. Anandpur Sahib,Nawanshahr,Nawanshahr,47,47. Nawan Shahr,GEN,Khatri,15.00,26196,174643
6,6,6. Anandpur Sahib,Nawanshahr,Nawanshahr,47,47. Nawan Shahr,GEN,Baniya,6.00,10478,174643
6,6,6. Anandpur Sahib,Nawanshahr,Nawanshahr,47,47. Nawan Shahr,GEN,Bhappe,3.00,5239,174643
6,6,6. Anandpur Sahib,Nawanshahr,Nawanshahr,47,47. Nawan Shahr,GEN,Rajput,0.0,-,174643
6,6,6. Anandpur Sahib,Nawanshahr,Nawanshahr,47,47. Nawan Shahr,OBC,Labana,0.0,-,174643
6,6,6. Anandpur Sahib,Nawanshahr,Nawanshahr,47,47. Nawan Shahr,OBC,Sikh Rajput,0.0,-,174643
6,6,6. Anandpur Sahib,Nawanshahr,Nawanshahr,47,47. Nawan Shahr,OBC,Saini,4.00,6986,174643
6,6,6. Anandpur Sahib,Nawanshahr,Nawanshahr,47,47. Nawan Shahr,OBC,Gujjar,2.00,3492,174643
6,6,6. Anandpur Sahib,Nawanshahr,Nawanshahr,47,47. Nawan Shahr,OBC,Kamboj,2.00,3492,174643
6,6,6. Anandpur Sahib,Nawanshahr,Nawanshahr,47,47. Nawan Shahr,SC,Ravidassia,13.00,22703,174643
6,6,6. Anandpur Sahib,Nawanshahr,Nawanshahr,47,47. Nawan Shahr,SC,Balmiki,6.00,10478,174643
6,6,6. Anandpur Sahib,Nawanshahr,Nawanshahr,47,47. Nawan Shahr,SC,Mazhabi Sikh,6.00,10478,174643
6,6,6. Anandpur Sahib,Nawanshahr,Nawanshahr,47,47. Nawan Shahr,SC,Bazigar,2.00,3492,174643
6,6,6. Anandpur Sahib,Nawanshahr,Nawanshahr,47,47. Nawan Shahr,MIN,Muslim,4.00,6986,174643
6,6,6. Anandpur Sahib,Nawanshahr,Nawanshahr,47,47. Nawan Shahr,-,Unknown,4.00,6988,174643
6,6,6. Anandpur Sahib,Nawanshahr,Nawanshahr,48,48. Balachaur,GEN,Brahmin,12.99,20084,154564
6,6,6. Anandpur Sahib,Nawanshahr,Nawanshahr,48,48. Balachaur,GEN,Jatt Sikh,20.00,30913,154564
6,6,6. Anandpur Sahib,Nawanshahr,Nawanshahr,48,48. Balachaur,GEN,Khatri,7.00,10819,154564
6,6,6. Anandpur Sahib,Nawanshahr,Nawanshahr,48,48. Balachaur,GEN,Baniya,7.00,10819,154564
6,6,6. Anandpur Sahib,Nawanshahr,Nawanshahr,48,48. Balachaur,GEN,Bhappe,2.00,3091,154564
6,6,6. Anandpur Sahib,Nawanshahr,Nawanshahr,48,48. Balachaur,GEN,Rajput,0.0,-,154564
6,6,6. Anandpur Sahib,Nawanshahr,Nawanshahr,48,48. Balachaur,OBC,Labana,0.0,-,154564
6,6,6. Anandpur Sahib,Nawanshahr,Nawanshahr,48,48. Balachaur,OBC,Sikh Rajput,0.0,-,154564
6,6,6. Anandpur Sahib,Nawanshahr,Nawanshahr,48,48. Balachaur,OBC,Saini,11.00,17001,154564
6,6,6. Anandpur Sahib,Nawanshahr,Nawanshahr,48,48. Balachaur,OBC,Gujjar,23.00,35549,154564
6,6,6. Anandpur Sahib,Nawanshahr,Nawanshahr,48,48. Balachaur,OBC,Kamboj,1.00,1545,154564
6,6,6. Anandpur Sahib,Nawanshahr,Nawanshahr,48,48. Balachaur,SC,Ravidassia,9.00,13911,154564
6,6,6. Anandpur Sahib,Nawanshahr,Nawanshahr,48,48. Balachaur,SC,Balmiki,0.0,-,154564
6,6,6. Anandpur Sahib,Nawanshahr,Nawanshahr,48,48. Balachaur,SC,Mazhabi Sikh,6.00,9273,154564
6,6,6. Anandpur Sahib,Nawanshahr,Nawanshahr,48,48. Balachaur,SC,Bazigar,0.0,-,154564
6,6,6. Anandpur Sahib,Nawanshahr,Nawanshahr,48,48. Balachaur,MIN,Muslim,0.0,-,154564
6,6,6. Anandpur Sahib,Nawanshahr,Nawanshahr,48,48. Balachaur,-,Unknown,1.01,1559,154564
6,6,6. Anandpur Sahib,Rup Nagar,Ropar,49,49. Anandpur Sahib,GEN,Brahmin,10.00,18758,187576
6,6,6. Anandpur Sahib,Rup Nagar,Ropar,49,49. Anandpur Sahib,GEN,Jatt Sikh,15.00,28136,187576
6,6,6. Anandpur Sahib,Rup Nagar,Ropar,49,49. Anandpur Sahib,GEN,Khatri,9.00,16882,187576
6,6,6. Anandpur Sahib,Rup Nagar,Ropar,49,49. Anandpur Sahib,GEN,Baniya,7.00,13130,187576
6,6,6. Anandpur Sahib,Rup Nagar,Ropar,49,49. Anandpur Sahib,GEN,Bhappe,3.00,5627,187576
6,6,6. Anandpur Sahib,Rup Nagar,Ropar,49,49. Anandpur Sahib,GEN,Rajput,8.00,15006,187576
6,6,6. Anandpur Sahib,Rup Nagar,Ropar,49,49. Anandpur Sahib,OBC,Labana,0.0,-,187576
6,6,6. Anandpur Sahib,Rup Nagar,Ropar,49,49. Anandpur Sahib,OBC,Sikh Rajput,3.00,5627,187576
6,6,6. Anandpur Sahib,Rup Nagar,Ropar,49,49. Anandpur Sahib,OBC,Saini,10.00,18758,187576
6,6,6. Anandpur Sahib,Rup Nagar,Ropar,49,49. Anandpur Sahib,OBC,Gujjar,3.00,5627,187576
6,6,6. Anandpur Sahib,Rup Nagar,Ropar,49,49. Anandpur Sahib,OBC,Kamboj,1.00,1876,187576
6,6,6. Anandpur Sahib,Rup Nagar,Ropar,49,49. Anandpur Sahib,SC,Ravidassia,10.00,18758,187576
6,6,6. Anandpur Sahib,Rup Nagar,Ropar,49,49. Anandpur Sahib,SC,Balmiki,8.00,15006,187576
6,6,6. Anandpur Sahib,Rup Nagar,Ropar,49,49. Anandpur Sahib,SC,Mazhabi Sikh,1.00,1875,187576
6,6,6. Anandpur Sahib,Rup Nagar,Ropar,49,49. Anandpur Sahib,SC,Bazigar,1.00,1875,187576
6,6,6. Anandpur Sahib,Rup Nagar,Ropar,49,49. Anandpur Sahib,MIN,Muslim,9.00,16882,187576
6,6,6. Anandpur Sahib,Rup Nagar,Ropar,49,49. Anandpur Sahib,-,Unknown,2.00,3753,187576
6,6,6. Anandpur Sahib,Rup Nagar,Ropar,50,50. Rupnagar,GEN,Brahmin,11.00,19034,173034
6,6,6. Anandpur Sahib,Rup Nagar,Ropar,50,50. Rupnagar,GEN,Jatt Sikh,20.00,34606,173034
6,6,6. Anandpur Sahib,Rup Nagar,Ropar,50,50. Rupnagar,GEN,Khatri,10.00,17303,173034
6,6,6. Anandpur Sahib,Rup Nagar,Ropar,50,50. Rupnagar,GEN,Baniya,9.00,15573,173034
6,6,6. Anandpur Sahib,Rup Nagar,Ropar,50,50. Rupnagar,GEN,Bhappe,3.00,5191,173034
6,6,6. Anandpur Sahib,Rup Nagar,Ropar,50,50. Rupnagar,GEN,Rajput,1.00,1730,173034
6,6,6. Anandpur Sahib,Rup Nagar,Ropar,50,50. Rupnagar,OBC,Labana,0.0,-,173034
6,6,6. Anandpur Sahib,Rup Nagar,Ropar,50,50. Rupnagar,OBC,Sikh Rajput,0.0,-,173034
6,6,6. Anandpur Sahib,Rup Nagar,Ropar,50,50. Rupnagar,OBC,Saini,6.99,12092,173034
6,6,6. Anandpur Sahib,Rup Nagar,Ropar,50,50. Rupnagar,OBC,Gujjar,0.0,-,173034
6,6,6. Anandpur Sahib,Rup Nagar,Ropar,50,50. Rupnagar,OBC,Kamboj,5.00,8651,173034
6,6,6. Anandpur Sahib,Rup Nagar,Ropar,50,50. Rupnagar,SC,Ravidassia,14.01,24243,173034
6,6,6. Anandpur Sahib,Rup Nagar,Ropar,50,50. Rupnagar,SC,Balmiki,6.99,12092,173034
6,6,6. Anandpur Sahib,Rup Nagar,Ropar,50,50. Rupnagar,SC,Mazhabi Sikh,3.00,5191,173034
6,6,6. Anandpur Sahib,Rup Nagar,Ropar,50,50. Rupnagar,SC,Bazigar,0.0,-,173034
6,6,6. Anandpur Sahib,Rup Nagar,Ropar,50,50. Rupnagar,MIN,Muslim,9.00,15573,173034
6,6,6. Anandpur Sahib,Rup Nagar,Ropar,50,50. Rupnagar,-,Unknown,1.01,1755,173034
6,6,6. Anandpur Sahib,Rup Nagar,Ropar,51,51. Chamkaur Sahib (SC),GEN,Brahmin,13.00,24457,188128
6,6,6. Anandpur Sahib,Rup Nagar,Ropar,51,51. Chamkaur Sahib (SC),GEN,Jatt Sikh,17.00,31982,188128
6,6,6. Anandpur Sahib,Rup Nagar,Ropar,51,51. Chamkaur Sahib (SC),GEN,Khatri,7.20,13545,188128
6,6,6. Anandpur Sahib,Rup Nagar,Ropar,51,51. Chamkaur Sahib (SC),GEN,Baniya,3.80,7149,188128
6,6,6. Anandpur Sahib,Rup Nagar,Ropar,51,51. Chamkaur Sahib (SC),GEN,Bhappe,5.00,9406,188128
6,6,6. Anandpur Sahib,Rup Nagar,Ropar,51,51. Chamkaur Sahib (SC),GEN,Rajput,2.00,3762,188128
6,6,6. Anandpur Sahib,Rup Nagar,Ropar,51,51. Chamkaur Sahib (SC),OBC,Labana,0.0,-,188128
6,6,6. Anandpur Sahib,Rup Nagar,Ropar,51,51. Chamkaur Sahib (SC),OBC,Sikh Rajput,0.0,-,188128
6,6,6. Anandpur Sahib,Rup Nagar,Ropar,51,51. Chamkaur Sahib (SC),OBC,Saini,8.00,15050,188128
6,6,6. Anandpur Sahib,Rup Nagar,Ropar,51,51. Chamkaur Sahib (SC),OBC,Gujjar,2.00,3762,188128
6,6,6. Anandpur Sahib,Rup Nagar,Ropar,51,51. Chamkaur Sahib (SC),OBC,Kamboj,0.0,-,188128
6,6,6. Anandpur Sahib,Rup Nagar,Ropar,51,51. Chamkaur Sahib (SC),SC,Ravidassia,18.00,33863,188128
6,6,6. Anandpur Sahib,Rup Nagar,Ropar,51,51. Chamkaur Sahib (SC),SC,Balmiki,6.00,11288,188128
6,6,6. Anandpur Sahib,Rup Nagar,Ropar,51,51. Chamkaur Sahib (SC),SC,Mazhabi Sikh,4.00,7527,188128
6,6,6. Anandpur Sahib,Rup Nagar,Ropar,51,51. Chamkaur Sahib (SC),SC,Bazigar,2.00,3762,188128
6,6,6. Anandpur Sahib,Rup Nagar,Ropar,51,51. Chamkaur Sahib (SC),MIN,Muslim,7.00,13169,188128
6,6,6. Anandpur Sahib,Rup Nagar,Ropar,51,51. Chamkaur Sahib (SC),-,Unknown,5.00,9406,188128
6,6,6. Anandpur Sahib,S.A.S. Nagar,"SAS Nagar
  Mohali",52,52. Kharar,GEN,Brahmin,11.00,30865,280593
6,6,6. Anandpur Sahib,S.A.S. Nagar,"SAS Nagar
  Mohali",52,52. Kharar,GEN,Jatt Sikh,24.00,67342,280593
6,6,6. Anandpur Sahib,S.A.S. Nagar,"SAS Nagar
  Mohali",52,52. Kharar,GEN,Khatri,6.00,16836,280593
6,6,6. Anandpur Sahib,S.A.S. Nagar,"SAS Nagar
  Mohali",52,52. Kharar,GEN,Baniya,4.00,11223,280593
6,6,6. Anandpur Sahib,S.A.S. Nagar,"SAS Nagar
  Mohali",52,52. Kharar,GEN,Bhappe,2.00,5612,280593
6,6,6. Anandpur Sahib,S.A.S. Nagar,"SAS Nagar
  Mohali",52,52. Kharar,GEN,Rajput,1.00,2805,280593
6,6,6. Anandpur Sahib,S.A.S. Nagar,"SAS Nagar
  Mohali",52,52. Kharar,OBC,Labana,0.0,-,280593
6,6,6. Anandpur Sahib,S.A.S. Nagar,"SAS Nagar
  Mohali",52,52. Kharar,OBC,Sikh Rajput,1.00,2805,280593
6,6,6. Anandpur Sahib,S.A.S. Nagar,"SAS Nagar
  Mohali",52,52. Kharar,OBC,Saini,9.00,25253,280593
6,6,6. Anandpur Sahib,S.A.S. Nagar,"SAS Nagar
  Mohali",52,52. Kharar,OBC,Gujjar,2.00,5612,280593
6,6,6. Anandpur Sahib,S.A.S. Nagar,"SAS Nagar
  Mohali",52,52. Kharar,OBC,kamboj,4.00,11223,280593
6,6,6. Anandpur Sahib,S.A.S. Nagar,"SAS Nagar
  Mohali",52,52. Kharar,SC,Ravidassia,14.00,39290,280593
6,6,6. Anandpur Sahib,S.A.S. Nagar,"SAS Nagar
  Mohali",52,52. Kharar,SC,Balmiki,7.00,19641,280593
6,6,6. Anandpur Sahib,S.A.S. Nagar,"SAS Nagar
  Mohali",52,52. Kharar,SC,Mazhabi Sikh,3.00,8418,280593
